id,pessoa_id,status,data_inicio_solicitacao
4784,410,A,2024-01-10
4785,217,A,2024-03-18
4786,252,A,2024-03-22
4787,188,A,2024-01-22
4788,380,A,2024-03-09
4789,41,A,2024-04-03
4790,157,R,2024-02-01
4791,15,R,2024-01-21
4792,301,A,2024-02-29
4793,65,C,2024-02-18
4794,345,A,2024-02-04
4795,327,A,2024-04-28
4796,9,N,2024-03-22
4797,344,A,2024-03-29
4798,129,C,2024-03-12
4799,136,A,2024-01-29
4800,63,C,2024-03-28
4801,139,A,2024-02-11
4802,81,N,2024-04-17
4803,392,A,2024-04-08
4804,163,C,2024-04-09
4805,419,A,2024-01-08
4806,289,A,2024-01-30
4807,379,C,2024-04-15
4808,261,A,2024-01-05
4809,231,R,2024-04-13
4810,41,R,2024-02-10
4811,28,A,2024-02-21
4812,135,R,2024-02-04
4813,201,A,2024-01-09
4814,328,C,2024-01-28
4815,268,A,2024-04-26
4816,418,A,2024-04-30
4817,33,C,2024-03-13
4818,48,N,2024-04-22
4819,407,A,2024-04-01
4820,62,R,2024-02-10
4821,216,A,2024-01-28
4822,293,A,2024-03-24
4823,99,A,2024-03-04
4824,172,A,2024-02-20
4825,360,A,2024-04-23
4826,214,A,2024-04-27
4827,35,C,2024-03-23
4828,449,C,2024-02-28
4829,227,R,2024-01-19
4830,101,A,2024-02-03
4831,431,A,2024-01-18
4832,131,N,2024-02-01
4833,257,R,2024-04-05
4834,5,A,2024-03-12
4835,218,C,2024-03-09
4836,255,N,2024-02-03
4837,398,C,2024-04-05
4838,359,R,2024-03-15
4839,283,R,2024-02-24
4840,393,A,2024-04-24
4841,207,C,2024-03-15
4842,15,N,2024-02-21
4843,346,A,2024-02-16
4844,42,A,2024-01-29
4845,380,A,2024-01-18
4846,179,N,2024-03-06
4847,63,C,2024-03-04
4848,352,A,2024-01-12
4849,231,A,2024-04-06
4850,241,A,2024-01-07
4851,52,C,2024-04-20
4852,96,N,2024-01-15
4853,388,N,2024-01-20
4854,222,A,2024-03-21
4855,407,A,2024-01-21
4856,231,A,2024-04-11
4857,237,A,2024-03-28
4858,143,N,2024-02-24
4859,171,N,2024-03-17
4860,29,C,2024-01-09
4861,36,C,2024-02-19
4862,13,A,2024-02-18
4863,160,R,2024-03-17
4864,327,C,2024-02-29
4865,187,N,2024-03-08
4866,243,A,2024-02-02
4867,86,A,2024-03-11
4868,284,A,2024-04-20
4869,66,C,2024-04-30
4870,170,R,2024-01-02
4871,45,A,2024-03-28
4872,62,R,2024-04-02
4873,441,R,2024-01-15
4874,134,A,2024-03-28
4875,284,A,2024-04-23
4876,28,R,2024-03-09
4877,108,A,2024-04-06
4878,44,R,2024-02-04
4879,340,A,2024-04-08
4880,286,N,2024-03-23
4881,446,A,2024-02-13
4882,331,A,2024-01-15
4883,128,N,2024-02-07
4884,348,A,2024-02-25
4885,231,A,2024-01-21
4886,190,A,2024-02-28
4887,225,R,2024-01-01
4888,385,R,2024-04-02
4889,377,R,2024-04-22
4890,283,A,2024-04-02
4891,446,A,2024-02-03
4892,121,A,2024-03-05
4893,116,A,2024-04-07
4894,233,A,2024-01-23
4895,259,A,2024-03-05
4896,359,A,2024-04-26
4897,198,C,2024-01-14
4898,411,A,2024-04-21
4899,137,A,2024-03-21
4900,318,R,2024-02-08
4901,165,A,2024-04-17
4902,225,R,2024-03-22
4903,307,N,2024-03-05
4904,234,C,2024-03-18
4905,172,A,2024-01-26
4906,152,C,2024-01-20
4907,315,A,2024-02-17
4908,374,A,2024-04-07
4909,160,A,2024-01-21
4910,96,C,2024-03-10
4911,233,A,2024-04-09
4912,180,A,2024-04-28
4913,113,R,2024-03-08
4914,318,A,2024-04-27
4915,442,A,2024-01-01
4916,52,A,2024-03-17
4917,268,A,2024-02-11
4918,295,A,2024-03-03
4919,386,A,2024-01-03
4920,387,R,2024-01-15
4921,113,A,2024-04-28
4922,101,A,2024-02-16
4923,113,N,2024-04-22
4924,440,A,2024-04-16
4925,81,R,2024-04-13
4926,187,A,2024-02-09
4927,113,A,2024-01-31
4928,2,A,2024-01-08
4929,130,A,2024-01-31
4930,220,A,2024-04-22
4931,54,A,2024-03-13
4932,343,A,2024-01-11
4933,224,A,2024-01-11
4934,225,A,2024-04-03
4935,385,A,2024-03-03
4936,403,A,2024-04-14
4937,126,A,2024-01-09
4938,130,R,2024-04-07
4939,53,A,2024-03-09
4940,172,R,2024-04-08
4941,218,R,2024-01-17
4942,160,A,2024-01-17
4943,198,N,2024-03-25
4944,416,C,2024-03-01
4945,247,A,2024-03-11
4946,324,A,2024-01-22
4947,439,N,2024-02-03
4948,203,R,2024-03-08
4949,184,A,2024-04-21
4950,123,A,2024-03-18
4951,401,A,2024-02-24
4952,255,A,2024-01-28
4953,294,R,2024-04-28
4954,280,A,2024-03-10
4955,325,A,2024-04-06
4956,372,R,2024-04-03
4957,98,A,2024-03-29
4958,198,A,2024-01-26
4959,395,R,2024-04-01
4960,240,N,2024-02-09
4961,144,A,2024-02-21
4962,97,A,2024-03-26
4963,201,A,2024-03-24
4964,124,A,2024-02-17
4965,187,A,2024-02-26
4966,326,A,2024-04-25
4967,349,A,2024-03-07
4968,259,A,2024-02-27
4969,148,A,2024-01-16
4970,252,A,2024-02-01
4971,443,A,2024-01-29
4972,420,A,2024-01-09
4973,403,A,2024-02-13
4974,346,N,2024-01-03
4975,147,A,2024-03-16
4976,148,R,2024-03-11
4977,352,R,2024-01-30
4978,199,A,2024-03-16
4979,308,A,2024-01-29
4980,417,A,2024-01-01
4981,424,A,2024-01-10
4982,128,R,2024-03-31
4983,39,A,2024-03-21
4984,338,A,2024-01-08
4985,360,A,2024-01-30
4986,129,A,2024-01-09
4987,267,R,2024-04-25
4988,441,A,2024-01-05
4989,434,A,2024-04-20
4990,151,C,2024-02-12
4991,415,R,2024-01-10
4992,298,A,2024-03-06
4993,99,A,2024-01-31
4994,263,A,2024-02-05
4995,252,A,2024-03-26
4996,144,A,2024-03-03
4997,346,A,2024-01-28
4998,112,A,2024-03-10
4999,60,A,2024-01-17
5000,369,N,2024-04-02
5001,2,A,2024-04-29
5002,385,A,2024-04-22
5003,304,A,2024-03-14
5004,254,C,2024-03-14
5005,140,A,2024-03-01
5006,37,A,2024-02-01
5007,160,C,2024-04-10
5008,9,N,2024-03-01
5009,233,N,2024-04-13
5010,99,A,2024-02-22
5011,147,A,2024-01-25
5012,304,R,2024-01-13
5013,208,C,2024-01-13
5014,131,A,2024-03-25
5015,404,A,2024-02-25
5016,152,A,2024-02-15
5017,54,R,2024-02-24
5018,120,A,2024-02-22
5019,161,A,2024-02-29
5020,408,A,2024-04-20
5021,116,A,2024-04-03
5022,75,A,2024-01-07
5023,113,A,2024-03-27
5024,420,R,2024-03-24
5025,422,A,2024-03-23
5026,104,A,2024-01-13
5027,340,A,2024-01-08
5028,254,A,2024-02-21
5029,227,A,2024-04-03
5030,112,A,2024-02-13
5031,99,A,2024-04-12
5032,153,A,2024-04-20
5033,349,A,2024-01-14
5034,402,C,2024-02-01
5035,384,A,2024-01-25
5036,366,N,2024-01-25
5037,338,A,2024-03-09
5038,194,R,2024-02-27
5039,310,R,2024-01-18
5040,163,A,2024-02-24
5041,208,A,2024-01-24
5042,445,A,2024-02-05
5043,169,A,2024-02-29
5044,161,C,2024-02-01
5045,68,N,2024-04-21
5046,289,C,2024-04-28
5047,398,A,2024-01-10
5048,277,R,2024-02-26
5049,304,C,2024-04-13
5050,404,A,2024-04-20
5051,384,A,2024-04-19
5052,392,R,2024-03-11
5053,135,A,2024-01-13
5054,195,N,2024-01-07
5055,401,A,2024-03-24
5056,128,R,2024-03-10
5057,33,A,2024-04-17
5058,176,A,2024-01-02
5059,443,A,2024-01-12
5060,371,N,2024-04-28
5061,375,R,2024-04-06
5062,22,A,2024-04-18
5063,238,A,2024-01-31
5064,158,N,2024-01-22
5065,38,A,2024-02-22
5066,230,N,2024-03-03
5067,365,A,2024-03-02
5068,51,A,2024-01-28
5069,438,A,2024-04-20
5070,264,A,2024-02-21
5071,283,R,2024-04-25
5072,27,A,2024-01-08
5073,226,A,2024-01-22
5074,277,N,2024-02-18
5075,286,A,2024-01-01
5076,97,A,2024-02-19
5077,284,C,2024-02-03
5078,367,R,2024-04-28
5079,448,A,2024-04-10
5080,317,C,2024-04-10
5081,304,R,2024-02-28
5082,147,A,2024-02-06
5083,4,A,2024-02-24
5084,35,R,2024-03-30
5085,192,R,2024-04-03
5086,49,A,2024-04-10
5087,17,N,2024-03-12
5088,172,R,2024-03-25
5089,220,A,2024-04-01
5090,158,A,2024-03-03
5091,46,A,2024-01-20
5092,373,R,2024-01-25
5093,6,A,2024-02-07
5094,99,A,2024-01-28
5095,380,R,2024-01-08
5096,233,N,2024-03-15
5097,37,A,2024-04-04
5098,280,N,2024-03-10
5099,349,A,2024-01-08
5100,302,N,2024-04-05
5101,181,A,2024-02-10
5102,95,A,2024-01-08
5103,99,R,2024-01-07
5104,188,A,2024-03-15
5105,116,A,2024-03-02
5106,191,R,2024-03-05
5107,253,R,2024-04-27
5108,416,R,2024-04-19
5109,161,R,2024-03-08
5110,256,A,2024-01-21
5111,323,A,2024-01-08
5112,128,A,2024-03-06
5113,18,A,2024-01-11
5114,281,C,2024-04-18
5115,223,A,2024-01-24
5116,54,A,2024-01-09
5117,58,A,2024-03-17
5118,323,C,2024-01-09
5119,360,A,2024-03-27
5120,174,A,2024-04-20
5121,280,A,2024-01-31
5122,114,R,2024-02-21
5123,288,A,2024-01-16
5124,431,N,2024-04-30
5125,342,C,2024-04-23
5126,151,A,2024-03-13
5127,450,R,2024-02-01
5128,127,C,2024-03-15
5129,155,R,2024-03-17
5130,386,A,2024-01-06
5131,273,A,2024-03-20
5132,104,R,2024-01-11
5133,417,A,2024-02-23
5134,393,R,2024-03-25
5135,299,C,2024-03-15
5136,246,C,2024-03-13
5137,176,A,2024-03-07
5138,39,A,2024-02-10
5139,170,C,2024-04-29
5140,247,N,2024-02-03
5141,26,A,2024-01-27
5142,355,C,2024-03-26
5143,306,N,2024-04-01
5144,409,A,2024-02-10
5145,408,A,2024-01-31
5146,13,A,2024-02-03
5147,316,A,2024-02-20
5148,391,A,2024-01-17
5149,313,N,2024-03-26
5150,36,A,2024-03-23
5151,173,A,2024-02-08
5152,20,A,2024-02-28
5153,321,A,2024-02-10
5154,264,C,2024-04-28
5155,400,A,2024-04-06
5156,142,A,2024-04-29
5157,371,R,2024-01-10
5158,143,A,2024-01-02
5159,92,A,2024-02-28
5160,354,A,2024-03-20
5161,322,A,2024-03-13
5162,288,A,2024-01-13
5163,215,A,2024-01-10
5164,447,A,2024-03-09
5165,342,C,2024-01-28
5166,51,A,2024-03-05
5167,153,A,2024-02-03
5168,186,R,2024-01-17
5169,63,A,2024-04-29
5170,190,R,2024-02-14
5171,125,A,2024-04-22
5172,150,C,2024-01-09
5173,314,A,2024-04-22
5174,58,A,2024-02-01
5175,342,A,2024-02-17
5176,305,C,2024-02-06
5177,180,A,2024-01-21
5178,170,A,2024-02-26
5179,326,A,2024-04-16
5180,271,R,2024-03-10
5181,54,A,2024-03-31
5182,444,N,2024-02-08
5183,101,A,2024-03-19
5184,264,A,2024-04-13
5185,53,A,2024-03-24
5186,60,A,2024-03-08
5187,108,A,2024-01-02
5188,5,A,2024-03-26
5189,103,R,2024-04-14
5190,196,A,2024-03-11
5191,262,A,2024-02-08
5192,365,A,2024-04-29
5193,372,A,2024-03-25
5194,350,A,2024-01-14
5195,47,A,2024-04-30
5196,355,A,2024-04-22
5197,311,N,2024-01-18
5198,424,C,2024-02-03
5199,308,A,2024-01-15
5200,144,A,2024-04-23
5201,269,R,2024-01-14
5202,370,A,2024-04-05
5203,124,A,2024-03-11
5204,106,A,2024-01-20
5205,158,R,2024-02-04
5206,147,R,2024-02-06
5207,145,A,2024-03-18
5208,120,A,2024-01-27
5209,319,A,2024-04-01
5210,275,R,2024-02-13
5211,92,A,2024-01-27
5212,58,A,2024-03-28
5213,439,R,2024-03-22
5214,346,A,2024-04-19
5215,229,R,2024-02-03
5216,117,A,2024-03-05
5217,318,A,2024-03-03
5218,279,A,2024-02-02
5219,127,R,2024-04-25
5220,393,N,2024-04-26
5221,396,N,2024-04-18
5222,129,A,2024-01-07
5223,58,R,2024-01-12
5224,122,A,2024-03-22
5225,1,A,2024-02-24
5226,239,N,2024-04-16
5227,290,A,2024-02-05
5228,96,A,2024-01-06
5229,126,A,2024-01-01
5230,118,A,2024-02-12
5231,48,A,2024-04-08
5232,89,A,2024-01-17
5233,237,A,2024-03-22
5234,373,N,2024-02-03
5235,385,N,2024-01-21
5236,272,A,2024-04-04
5237,189,A,2024-02-26
5238,192,A,2024-03-11
5239,447,A,2024-03-31
5240,69,A,2024-02-24
5241,278,R,2024-03-12
5242,349,A,2024-01-02
5243,247,A,2024-01-15
5244,76,A,2024-01-10
5245,154,A,2024-04-30
5246,144,C,2024-04-23
5247,435,R,2024-03-29
5248,86,A,2024-04-25
5249,185,N,2024-01-20
5250,285,A,2024-03-10
5251,220,N,2024-01-05
5252,69,R,2024-04-16
5253,47,A,2024-02-17
5254,94,A,2024-03-15
5255,238,A,2024-03-11
5256,446,A,2024-01-19
5257,204,R,2024-02-25
5258,400,A,2024-01-17
5259,218,A,2024-01-06
5260,432,N,2024-02-09
5261,341,C,2024-02-16
5262,39,A,2024-04-25
5263,100,A,2024-04-29
5264,289,A,2024-04-11
5265,254,A,2024-04-20
5266,222,C,2024-01-06
5267,357,A,2024-04-25
5268,23,A,2024-02-15
5269,250,A,2024-01-27
5270,10,A,2024-03-28
5271,246,R,2024-02-01
5272,325,N,2024-03-26
5273,100,A,2024-01-14
5274,290,A,2024-02-15
5275,180,A,2024-04-09
5276,223,C,2024-03-12
5277,394,N,2024-04-23
